Time (s),Joint 1 Position,Joint 2 Position,Joint 3 Position,Joint 4 Position,Joint 5 Position,Joint 6 Position
0.03870797157287598,-0.00025462355973839414,-0.7912749290768286,-1.7347043525675268,-0.9656995346828363,1.59756056247304,0.00427068607563328
0.1372389793395996,-0.0002478941395144609,-0.7912706766280593,-1.7346872579892818,-0.9657221791379486,1.597553817162584,0.004259121454957328
0.23984313011169434,-0.0002626867975305758,-0.7912576599664757,-1.734661381133687,-0.9657644484703736,1.5975642428253423,0.004277379754941973
0.33784914016723633,-0.0002910571089923771,-0.7913156536762721,-1.734664436110245,-0.9657042196595537,1.5975806728227895,0.004264730133631741
0.4408450126647949,-0.0002510517076280972,-0.7912657712266102,-1.7347056089750863,-0.9657019221010169,1.5975680337552598,0.004257143628409994
0.5374050140380859,-0.00023005903931834414,-0.7912432427720598,-1.7346922974656196,-0.9657386736372815,1.5975601552230008,0.004272301557984048
0.6401541233062744,-0.0002476443361477114,-0.7912594593958111,-1.7347089623948837,-0.9657088503915882,1.5975489889782895,0.004265405784660018
0.741204023361206,-0.00026040885719373364,-0.7912689700991987,-1.7346889045085476,-0.9657241954831738,1.5975628405441402,0.004262292289101904
0.840001106262207,-0.00021788977436614757,-0.7912559697301409,-1.7346761171029985,-0.9657497710528616,1.5975486662478762,0.004261407877113416
0.9379420280456543,-0.00023954445080997017,-0.79126351868277,-1.734661355309183,-0.9657629848811983,1.5975586229074956,0.004260067577613429
1.039031982421875,-0.00025010404895225134,-0.7912737909195495,-1.7346948146377479,-0.9657101873126328,1.5975539483394339,0.004258846456103674
1.1402411460876465,0.724079621545678,-0.6502037185384153,-1.7464510331684318,-1.0821795312148967,0.938717972324931,0.24103622882453318
1.2408101558685303,0.7240954355590339,-0.6501867725837919,-1.746482914065679,-1.0821666703924993,0.9386903686485819,0.24102170120416014
1.338974952697754,0.7249137470029244,-0.649759712462243,-1.7464349686644658,-1.0828975597957817,0.9378989415364863,0.24134527631274527
1.4372849464416504,0.7292776865018555,-0.6479502448585582,-1.7467755281991995,-1.085661529766455,0.933566332572169,0.24257160369064718
1.5383589267730713,0.738495329156949,-0.6440462108333832,-1.7472225185210444,-1.0917923964138434,0.924572986421992,0.24541744362220363
1.6365561485290527,0.7520913474787319,-0.6380434286045147,-1.747602115145158,-1.1014505253137408,0.9113457887277931,0.24986119437687024
1.73905611038208,0.7693998098535112,-0.630346559032345,-1.748460609046679,-1.1133745122286707,0.8944465161394543,0.25546194762748087
1.8407771587371826,0.7931806945117867,-0.6194109488124868,-1.7496148316019302,-1.1300785067191692,0.871424440851646,0.26334264014144293
1.9386510848999023,0.8186264993701358,-0.6072479336736363,-1.7509806612641672,-1.1483262436475543,0.8468621678304422,0.2721457915583325
2.038228988647461,0.8497984979998908,-0.5919072984996071,-1.7527413615833685,-1.171040812727952,0.8169177686852322,0.28327066299205744
2.138651132583618,0.879473444739642,-0.577088597786918,-1.7545381969833207,-1.1927921101743333,0.7886262600975107,0.29426340751477037
2.240739107131958,0.913698761481041,-0.559706232226407,-1.7562136217578987,-1.218898673513504,0.7563237720385526,0.3077451273318613
2.3397140502929688,0.94597708328893,-0.5430604388334168,-1.7577479967872274,-1.2440934112272442,0.7260113497582523,0.3210906618678312
2.4374091625213623,0.981885923031954,-0.5247448614317475,-1.7593374409412208,-1.2722967504580747,0.6926484217897456,0.3365144966066192
2.5374600887298584,1.0161961810120477,-0.5074827169648097,-1.7597818829880294,-1.3009518317640927,0.661211147870549,0.3525450290392881
2.6376709938049316,1.047808219079252,-0.49205793239683027,-1.7603584914766166,-1.3270254450604506,0.6323423325621536,0.3677777462961608
2.73785400390625,1.0788104790118007,-0.47766551818625824,-1.7598223688143138,-1.3539239108005423,0.6044564495025126,0.3839104451283868
2.8383939266204834,1.111814378175551,-0.4629786215143099,-1.7586331310763519,-1.3834614816777973,0.5750170940367725,0.402101016038547
2.9364991188049316,1.1400197065978817,-0.45169594466942575,-1.756769355474862,-1.4093382445613554,0.5501403785278667,0.41880409468509333
3.0399701595306396,1.1700645900683988,-0.4403069941599044,-1.7541624030078076,-1.4378350353874412,0.5239444608571028,0.43758060038534186
3.1397340297698975,1.1966348678296561,-0.4317282636615024,-1.7507818511346687,-1.464009732103587,0.5010341330001034,0.45556221638400163
3.239108085632324,1.2241377159531333,-0.42363774012352723,-1.7468589629613436,-1.4918594983177782,0.47753517330523754,0.47526898672213
3.338300943374634,1.2485391855401395,-0.41765001175690325,-1.7424978762352739,-1.517538726220831,0.45702177236916247,0.49402949906026405
3.4378600120544434,1.2737780663357505,-0.4124130855460265,-1.7373729548017063,-1.5452612693779586,0.4360306695845343,0.5148072984092235
3.542530059814453,1.2977487623563944,-0.4085107051944681,-1.7321683942487762,-1.5721503080068668,0.4162802803625728,0.5358872712450766
3.6404590606689453,1.3190226486680192,-0.40569635111808955,-1.7269600914598695,-1.5972955019021724,0.3990552707381949,0.555839264245832
3.7389140129089355,1.3393561532005207,-0.40361312239938146,-1.7212868041817595,-1.6230364775095474,0.38287348094629825,0.5764272480908564
3.8400819301605225,1.3604812902843353,-0.4020789387687954,-1.7152822359644577,-1.65041012111063,0.3662554359235708,0.5989286778527707
3.9382171630859375,1.3791304689427482,-0.40078158748982684,-1.7097619981356043,-1.6760807409254497,0.3518463226573962,0.6201775338730582
4.039207935333252,1.3984895615499204,-0.3999245673746541,-1.7041467630586167,-1.7032872705308446,0.3371187069281281,0.6434384916849127
