Time (s),Joint 1 Position REEMC,Joint 1 Position Whole Body,q_ref Joint 1,q_lb Joint 1,q_ub Joint 1,Joint 2 Position REEMC,Joint 2 Position Whole Body,q_ref Joint 2,q_lb Joint 2,q_ub Joint 2,Joint 3 Position REEMC,Joint 3 Position Whole Body,q_ref Joint 3,q_lb Joint 3,q_ub Joint 3,Joint 4 Position REEMC,Joint 4 Position Whole Body,q_ref Joint 4,q_lb Joint 4,q_ub Joint 4,Joint 5 Position REEMC,Joint 5 Position Whole Body,q_ref Joint 5,q_lb Joint 5,q_ub Joint 5,Joint 6 Position REEMC,Joint 6 Position Whole Body,q_ref Joint 6,q_lb Joint 6,q_ub Joint 6
0.03725385665893555,-0.0002361820610657894,-0.00021201768984013825,0.0,0.0,0.0,-0.7912514123673559,-0.7912554305842896,0.0,0.0,0.0,-1.7347426192553994,-1.7346844673156738,0.0,0.0,0.0,-0.9656724822004756,-0.9656854432872315,0.0,0.0,0.0,1.5975587677503011,1.5975797176361084,0.0,0.0,0.0,0.004272998038655946,0.004284882452338934,0.0,0.0,0.0
0.13676691055297852,-0.0002524533969570791,-0.00023919740785771637,0.0,0.0,0.0,-0.7912643886562113,-0.7912554305842896,0.0,0.0,0.0,-1.7347062248499028,-1.7347111701965332,0.0,0.0,0.0,-0.9657009076654001,-0.9656854432872315,0.0,0.0,0.0,1.5975584216645133,1.5975487232208252,0.0,0.0,0.0,0.004263363324336236,0.004265785217285156,0.0,0.0,0.0
0.23824691772460938,-0.00025823450304957707,-0.00024825731386357575,0.0,0.0,0.0,-0.791278735549679,-0.7912435096553345,0.0,0.0,0.0,-1.7347354374602322,-1.7346827983856201,0.0,0.0,0.0,-0.9656562952248325,-0.9657045167735596,0.0,0.0,0.0,1.5975687366105482,1.5975725650787354,0.0,0.0,0.0,0.00424844571590059,0.004231171682476997,0.0,0.0,0.0
0.33821797370910645,-0.00025098818155124355,-0.0002358595477502945,0.0,0.0,0.0,-0.791259164666274,-0.7912554305842896,0.0,0.0,0.0,-1.7347570321921728,-1.734675645828247,0.0,0.0,0.0,-0.9656482054640395,-0.9656818074039002,0.0,0.0,0.0,1.5975680566571917,1.597583293914795,0.0,0.0,0.0,0.0042507548642027725,0.0042347670532763,0.0,0.0,0.0
0.4371368885040283,-0.0002482234103193743,-0.00023156801332646637,0.0,0.0,0.0,-0.7912620522765138,-0.7912554305842896,0.0,0.0,0.0,-1.7347147176896258,-1.7347023487091064,0.0,0.0,0.0,-0.9656943475662711,-0.965689019565918,0.0,0.0,0.0,1.597563337828834,1.5975725650787354,0.0,0.0,0.0,0.004257504434795117,0.004250275902450085,0.0,0.0,0.0
0.5532059669494629,-0.00024323019655770613,-0.0002244154559534195,0.0,0.0,0.0,-0.791252450620823,-0.7912624639323731,0.0,0.0,0.0,-1.7347259482647535,-1.7346917390823364,0.0,0.0,0.0,-0.9656912141094434,-0.9656854432872315,0.0,0.0,0.0,1.5975496964565037,1.5975368022918701,0.0,0.0,0.0,0.00425823050906698,0.0042502498254179955,0.0,0.0,0.0
0.6405239105224609,-0.00021452313020681497,-0.00017768541444951325,0.0,0.0,0.0,-0.7912409220575776,-0.7912589472583313,0.0,0.0,0.0,-1.7347109006273838,-1.7346951961517334,0.0,0.0,0.0,-0.965721632352561,-0.9657009404948731,0.0,0.0,0.0,1.5975352569581622,1.5975415706634521,0.0,0.0,0.0,0.00427447860022745,0.0042813061736524105,0.0,0.0,0.0
0.7393758296966553,-0.0002456093293864985,-0.00022870699037724762,0.0,0.0,0.0,-0.7912676294545764,-0.7912519139102479,0.0,0.0,0.0,-1.7346686263086557,-1.7347333431243896,0.0,0.0,0.0,-0.965741784000229,-0.9656973046115418,0.0,0.0,0.0,1.597547430397403,1.597524881362915,0.0,0.0,0.0,0.004265844445623402,0.004269385244697332,0.0,0.0,0.0
0.8388040065765381,-0.0002640158196542075,-0.0002587477313440445,0.0,0.0,0.0,-0.7912794463724543,-0.7912435096553345,0.0,0.0,0.0,-1.7347515107769536,-1.734675645828247,0.0,0.0,0.0,-0.9656360895383581,-0.9656973046115418,0.0,0.0,0.0,1.5975624417124827,1.5975415706634521,0.0,0.0,0.0,0.004254080110441871,0.004246649798005819,0.0,0.0,0.0
0.9391880035400391,-0.00024092958119840475,-0.00022107759584599762,0.0,0.0,0.0,-0.7912629498320314,-0.7912435096553345,0.0,0.0,0.0,-1.734739896720694,-1.7346916198730469,0.0,0.0,0.0,-0.9656634031785154,-0.965689019565918,0.0,0.0,0.0,1.5975483034172215,1.5975368022918701,0.0,0.0,0.0,0.0042570939796009516,0.0042466879822313786,0.0,0.0,0.0
1.0407838821411133,-0.00025182455625895507,-0.00023919740785771637,0.0,0.0,0.0,-0.7912819118201523,-0.791236476307251,0.0,0.0,0.0,-1.7346892862454537,-1.73472261428833,0.0,0.0,0.0,-0.965704026542704,-0.9657045167735596,0.0,0.0,0.0,1.5975500661919964,1.5975226163864136,0.0,0.0,0.0,0.004252465599392695,0.0042383549734950066,0.0,0.0,0.0
1.1384520530700684,-0.00024345725841193037,-0.0002244154559534195,0.0,0.0,1.7453292519943295,-0.7912640570438736,-0.7912589472583313,-0.8,0.0,6.283185307179586,-1.7347100077019872,-1.7346827983856201,-1.8,0.0,6.283185307179586,-0.9657035110456802,-0.9657167953303833,-0.9,0.0,6.283185307179586,1.5975555812725746,1.5975558757781982,1.653092622756958,0.0,6.283185307179586,0.004256674369030986,0.0042466879822313786,-0.02,0.0,6.283185307179586
