Time (s),Gripper X,Gripper Y,Gripper Z,Gripper Orientation X,Gripper Orientation Y,Gripper Orientation Z,Gripper Orientation W,Desired Position X,Desired Position Y,Desired Position Z,Desired Orientation W,Desired Orientation X,Desired Orientation Y,Desired Orientation Z
0.0812380313873291,-0.03973577392252976,-0.24503619224076853,0.3653313725571538,0.05005000051999763,0.038460325789960136,0.7388162809980784,0.6709443372741489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18204998970031738,-0.03973577359067573,-0.24503619190195866,0.36533137316365777,0.05004999919682875,0.038460326301892146,0.7388162818964022,0.6709443363543098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28075504302978516,-0.03973577269792293,-0.24503619359889273,0.3653313709793115,0.05005000357388665,0.0384603242048767,0.7388162823737026,0.6709443356224204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3822300434112549,-0.039826002340573256,-0.24507832673221036,0.36539707207129846,0.050029877583671195,0.03835646760651447,0.7388032395400466,0.6709661436964207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4835031032562256,-0.04058889613471382,-0.2454316789588651,0.36595184399902386,0.049859030925936514,0.037482218422434446,0.738693241645671,0.6711493537836938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5833330154418945,-0.04274109075355016,-0.24640069829069464,0.3675101569646445,0.04937017304138998,0.03505290504597118,0.7383852642247347,0.6716554782308188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6833219528198242,-0.04666620203204529,-0.24806551628918513,0.3703282116150319,0.04845409509312046,0.03075621982745608,0.7378322231220942,0.67253986211476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.783376932144165,-0.053054020469831806,-0.2505066963286406,0.37485602544328733,0.04690270689592514,0.024102409318420153,0.7369548204139645,0.6738818907045236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8836100101470947,-0.06233153867316225,-0.2535031254676428,0.3813264124660357,0.044536151297120734,0.01509664887310011,0.7357267152248499,0.6756440060600664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9834001064300537,-0.0752394070012421,-0.2566845920557863,0.3901740096158147,0.04106389391489365,0.003664018866946503,0.734100276679472,0.6777884001378393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.083981990814209,-0.09127535399778787,-0.2591824750003015,0.4010060074899569,0.03652519955540322,-0.009078308582814732,0.7321978333317772,0.6800513414257515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1833810806274414,-0.11193948731598018,-0.26022349320826943,0.4148537323791394,0.030400234742749395,-0.023580303832822492,0.7299150434922045,0.6824542653412834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.28416109085083,-0.13550665519895422,-0.2585954159414764,0.43069954272349775,0.023127546223270713,-0.03801150184121657,0.7275135481001256,0.6846490193261304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3838698863983154,-0.1633734217694908,-0.25287248900622905,0.4498119238964571,0.014217052314894231,-0.05274950547308414,0.7249162539501767,0.6866671608972309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4848299026489258,-0.19299626462664604,-0.24207980374843308,0.47100375016722307,0.004423056213140982,-0.06614757034593435,0.7224096892820516,0.6882798677445642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5847361087799072,-0.2228256933102908,-0.2256636884038309,0.49387418801089567,-0.005780881075765965,-0.07762583247825659,0.720124334865059,0.689464831504263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6863300800323486,-0.25287096524294317,-0.20205519388495102,0.5194921047052254,-0.016486853990154253,-0.0873433832044217,0.7180460540075393,0.6902964445657495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7863130569458008,-0.2793855106939144,-0.17274244968872665,0.5458981191144595,-0.026472340188030317,-0.09440654195323808,0.716388145333396,0.6907782895163814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8845810890197754,-0.3008277522600961,-0.13905149936350647,0.5724458144908161,-0.03522724861058002,-0.098950827761785,0.7151611425730262,0.6910226586691853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9851810932159424,-0.3167752691338999,-0.10117593432868313,0.599590308590523,-0.04267007578856263,-0.10136825809814103,0.7143007413416977,0.691142671089731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.08514404296875,-0.32607775381691223,-0.061731198632928655,0.6261445737543416,-0.04833146583930827,-0.10191699401045855,0.7137821119004569,0.6912250664382907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.185807943344116,-0.3288285477797547,-0.02278270893353514,0.6514880599108966,-0.052130256117115394,-0.10106627397586827,0.71352658839846,0.6913377266649445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.286526918411255,-0.3257097947045454,0.014503432029084948,0.6755164104763783,-0.054200857784611256,-0.09926295671222891,0.7134480917767072,0.6915207536873594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.385166883468628,-0.3183693835428521,0.04659894834010911,0.6964185525502264,-0.0547343463244764,-0.09707543807322219,0.7134699680772573,0.6917666624716473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.486269950866699,-0.30784855141422685,0.07520641249130726,0.7155445459855341,-0.05415022805451987,-0.09469319580970346,0.7135331254794517,0.6920776187050941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.585848093032837,-0.29632154740329325,0.09814216886985713,0.7314644415960043,-0.052858879623788636,-0.09251114541979276,0.7135970746951592,0.6924065581755757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
