Time (s),Gripper Velocity X,Gripper Velocity Y,Gripper Velocity Z,Reference Velocity X,Reference Velocity Y,Reference Velocity Z
0.10342001914978027,-0.0002200063660490845,0.007890555422064686,-0.006459477033391871,0.0,0.0,0.0
0.2029709815979004,-0.00022034517091410052,0.00789052910829438,-0.006459532472702961,0.0,0.0,0.0
0.3027770519256592,-0.0002194588483759096,0.00788917410885033,-0.006458207719274927,0.0,0.0,0.0
0.4036118984222412,-0.00022327502283083932,0.007885817856536118,-0.006456285369481616,0.0,0.0,0.0
0.5035738945007324,-0.00021972722384718663,0.0078903805758639,-0.0064592687972040656,0.0,0.0,0.0
0.6041610240936279,-0.00021989502698215895,0.007890208348773475,-0.006459164432792865,0.0,0.0,0.0
0.7026998996734619,-0.00021977406102726224,0.007890352541299835,-0.006459256197050316,0.0,0.0,0.0
0.8026988506317139,-0.00021979429210413576,0.007890370361593207,-0.006459275560079442,0.0,0.0,0.0
0.9036769866943359,-0.00021960819618731676,0.007890340669443689,-0.00645920857865447,0.0,0.0,0.0
1.003612995147705,-0.0002239656306948981,0.007887885132077256,-0.006458188788805045,0.0,0.0,0.0
1.1042940616607666,-0.0002200562682808726,0.007886390695986492,-0.006456040701900308,0.0,0.0,0.0
1.2050230503082275,-0.00022315783200422325,0.007883131326775457,-0.006454309284583935,0.0,0.0,0.0
1.3082950115203857,-0.0002251196129422383,0.00788764555593669,-0.006458163284169193,0.0,0.0,0.0
1.4036929607391357,-0.00022314925129513126,0.007885920210793703,-0.0064563435670325145,0.0,0.0,0.0
1.5045599937438965,-0.00022599959990410448,0.007888504784625383,-0.006459071110819557,0.0,0.0,0.0
1.6058008670806885,-0.00022514524642391206,0.007887536769056886,-0.006458079092454142,0.0,0.0,0.0
1.7050988674163818,-0.0002184793871127021,0.007890734064086698,-0.006459276685394198,0.0,0.0,0.0
1.8056910037994385,-0.00021758673352523445,0.00787450713944439,-0.006446169923578188,0.0,0.0,0.0
1.905040979385376,-0.0004595518174437228,0.007557626664551539,-0.006244055778403781,0.0,0.0,0.0
2.005661964416504,-0.00021974603304604829,0.007890370442469903,-0.00645926461699347,0.0,0.0,0.0
2.10496187210083,-0.00022309760286501145,0.007885781050058143,-0.006456229745816602,0.0,0.0,0.0
2.2051689624786377,-0.00022241528577842838,0.007887828927365913,-0.006457728684333875,0.0,0.0,0.0
2.306823968887329,-0.00022525396742077299,0.007887671136385938,-0.006458215072437064,0.0,0.0,0.0
2.405395984649658,-0.00022219473344314855,0.007884885109737786,-0.006455270660521784,0.0,0.0,0.0
2.5072638988494873,-0.0001967528232600947,0.007937235816120837,-0.006488863525591556,0.0,0.0,0.0
2.6056649684906006,-0.00021845452758077912,0.007890210055546848,-0.006458861495995323,0.0,0.0,0.0
2.705142021179199,-0.00022288408077106393,0.007885751426771625,-0.006456156564649949,0.0,0.0,0.0
2.8104920387268066,-0.00021839627714573915,0.007890579835025216,-0.00645913003992208,0.0,0.0,0.0
2.9187610149383545,-0.00021910533804415797,0.007891114730624243,-0.006459734526411055,0.0,0.0,0.0
3.0181589126586914,-0.00021893317713614084,0.007889020536012958,-0.006457961213500084,0.0,0.0,0.0
3.1205639839172363,-0.0004596901308748347,0.007557768268126431,-0.006244181663003783,0.0,0.0,0.0
3.221252918243408,-0.00021967633633483181,0.007890319874146838,-0.006459206882776152,0.0,0.0,0.0
3.319395065307617,-0.00022609509997131123,0.00788771463222256,-0.006458532806717545,0.0,0.0,0.0
3.420788049697876,-0.0002200533403262192,0.007890297733358302,-0.006459274484262761,0.0,0.0,0.0
3.5200600624084473,-0.00022600395537622047,0.007887329669683979,-0.006458193451646053,0.0,0.0,0.0
3.6189069747924805,-0.0002244427125395178,0.007882333232170247,-0.006453669601838399,0.0,0.0,0.0
3.722815990447998,-0.00022249344106120997,0.00788571255363579,-0.006456035347588918,0.0,0.0,0.0
3.8226799964904785,-0.00022294020653866126,0.00788557023993432,-0.006456019392670312,0.0,0.0,0.0
3.9222660064697266,-0.00022846108637798897,0.007884030473652624,-0.0064559303994561855,0.0,0.0,0.0
4.0236639976501465,-0.00021967693370076967,0.007890354611054027,-0.006459235765247632,0.0,0.0,0.0
4.122582912445068,-0.0002198225837980178,0.007890225535759745,-0.006459162142570366,0.0,0.0,0.0
4.22315788269043,-0.00021764207340045584,0.007874908208611095,-0.0064465117492758595,0.0,0.0,0.0
4.323251008987427,-0.0002200235563342299,0.007890328696200679,-0.00645929331761353,0.0,0.0,0.0
4.423130989074707,-0.00021971501636684727,0.007890409741137248,-0.006459290066103377,0.0,0.0,0.0
4.524594068527222,-0.00045975830654898465,0.00755784038602263,-0.006244257443994767,0.0,0.0,0.0
4.624207973480225,-0.00022001599550000686,0.007890260605257073,-0.006459235256563881,0.0,0.0,0.0
4.725034952163696,-0.00022046025305652388,0.00789118466291733,-0.006460108717373225,0.0,0.0,0.0
4.825775861740112,-0.0002188219993678887,0.007891188300168906,-0.006459727671097172,0.0,0.0,0.0
4.924757957458496,-0.00021919500487461413,0.00789119053787438,-0.00645981768218705,0.0,0.0,0.0
5.0250349044799805,-0.00021976344780874307,0.007890348911898343,-0.006459250770111485,0.0,0.0,0.0
5.125679016113281,-0.00021971647648005356,0.007890261184568344,-0.006459167460527016,0.0,0.0,0.0
5.225664854049683,-0.00020152072492137942,0.007930747374540793,-0.006484821897079852,0.0,0.0,0.0
5.324877977371216,-0.00022003983077972905,0.007890287048435817,-0.006459262562110427,0.0,0.0,0.0
5.425868988037109,-0.00020247165517850286,0.008033976915722248,-0.006566527578574602,0.0,0.0,0.0
