Time (s),Current Error X,Current Error Y,Current Error Z,Delayed Error X,Delayed Error Y,Delayed Error Z
0.0,5.7715833429616836e-05,-0.012711356479915864,0.011189768623965146,5.7715833429616836e-05,-0.012711356479915864,0.011189768623965146
0.10000000000013642,-0.0005230474275905173,-0.011874343452427688,0.012856905949860109,-0.0005230474275905173,-0.011874343452427688,0.012856905949860109
0.20000000000004547,-0.0011358237398331195,-0.011004260591439247,0.014605740081973462,-0.0011358237398331195,-0.011004260591439247,0.014605740081973462
0.3000000000001819,-0.0017323301825709625,-0.010169811743874074,0.01629843198212999,-0.0017323301825709625,-0.010169811743874074,0.01629843198212999
0.4010000000000673,-0.0023003632980836963,-0.009386377920568872,0.017901726386758354,-0.0023003632980836963,-0.009386377920568872,0.017901726386758354
0.5,-0.002817185395987687,-0.008682818072424353,0.019353419175487607,-0.002817185395987687,-0.008682818072424353,0.019353419175487607
0.6010000000001128,-0.0032550199999068496,-0.008093524056586282,0.020578134651032753,-0.0032550199999068496,-0.008093524056586282,0.020578134651032753
0.7010000000000218,-0.003623437776887728,-0.007602358417971661,0.021605133871615667,-0.003623437776887728,-0.007602358417971661,0.021605133871615667
0.8000000000001819,-0.003889965091076697,-0.007249666939671662,0.022346125266562433,-0.003889965091076697,-0.007249666939671662,0.022346125266562433
0.9010000000000673,-0.004060425240153154,-0.007025247010179564,0.022819175475260245,-0.004060425240153154,-0.007025247010179564,0.022819175475260245
1.0,-0.0041529466942795135,-0.006903809598020588,0.023075657523343618,-0.0041529466942795135,-0.006903809598020588,0.023075657523343618
1.1010000000001128,-0.004181465622694003,-0.006866430169134408,0.023154676637901606,-0.004181465622694003,-0.006866430169134408,0.023154676637901606
1.2010000000000218,-0.002315463857157418,-0.024860862836781725,0.011018375763127475,-0.002315463857157418,-0.024860862836781725,0.011018375763127475
1.3010000000001583,-0.002333091344803251,-0.02482255839067264,0.011066634870410264,-0.002333091344803251,-0.02482255839067264,0.011066634870410264
1.400000000000091,-0.002399225820440054,-0.02467968972964886,0.011247606648852826,-0.002399225820440054,-0.02467968972964886,0.011247606648852826
